source_page_url,source_page_title,item_type,rank,name,description,verdict,address,price,neighborhood_or_area,item_url,booking_or_activity_url,related_timeout_url,image_url,notes,lat,lng,geocode_provider,geocode_query
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,bakery,1,Eat a pastel de nata at Manteigaria,Classic Lisbon custard tart stop in a preserved 1900 building; go when the bell signals a fresh warm batch.,The one thing you can't miss,"Rua do Loreto 2, 1200-241",Tarts around EUR1.30-EUR1.50 each,Chiado / multiple Lisbon branches,https://manteigaria.com/en/,https://activities.timeout.com/lisbon-l42/lisbon-pastel-de-nata-masterclass-inside-a-real-bakery-t366760/?ranking_uuid=0aed225f-c372-4843-b250-cd0488c870c0,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,https://media.timeout.com/images/106204579/750/422/image.jpg,"Time Out notes additional branches at Time Out Market, Baixa, Campo de Ourique, Belem, Parque das Nacoes, and Alvalade.",38.710764,-9.144062,Nominatim,"Rua do Loreto 2, 1200-241, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,viewpoint,2,Take in the views from Miradouro das Portas do Sol,"Free Alfama viewpoint over the Tagus and nearby monuments, with a bar and weekend DJ atmosphere.",The best free thing to do in Lisbon,"Largo Portas do Sol, 1100-411",,Alfama,https://www.timeout.com/lisbon/attractions/the-best-viewpoints-in-lisbon,https://activities.timeout.com/lisbon-l42/viewing-points-tc238/,https://www.timeout.com/lisbon/attractions/the-best-viewpoints-in-lisbon,https://media.timeout.com/images/106319707/750/422/image.jpg,Good for sunset photos and a low-cost first Lisbon stop.,38.712376,-9.130765,Nominatim,"Largo Portas do Sol, 1100-411, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,food hall,3,Try the best food in town at Time Out Market Lisboa,"Large food hall in Mercado da Ribeira with Time Out-curated restaurants, produce stalls, music, and Lisbon favorites.",The best foodie experience in the city,"Mercado da Ribeira, Av. 24 de Julho 49, 1200-479",,Cais do Sodre,https://www.timeout.com/time-out-market-lisboa,,https://www.timeout.com/time-out-market-lisboa/restaurants,https://media.timeout.com/images/106184898/750/422/image.jpg,Time Out highlights Manteigaria Silva as a strong first stop inside the market.,38.706994,-9.145693,Photon,"Mercado da Ribeira, Av. 24 de Julho 49, 1200-479, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,music venue,4,Listen to fado at Mesa de Frades,"Azulejo-lined former chapel turned fado house, with live music most nights and dinner-or-late-drink options.",The best local experience in Lisbon,"R. dos Remedios 139, 1100-453",EUR65 set dinner,Alfama,https://www.timeout.com/lisbon/music/the-best-places-to-listen-to-fado-in-lisbon,https://activities.timeout.com/lisbon-l42/fado-shows-tc273/,https://www.timeout.com/lisbon/music/the-best-places-to-listen-to-fado-in-lisbon,https://media.timeout.com/images/106254678/750/422/image.jpg,Booking is recommended for dinner; later drinks may be possible from around 11:45pm.,38.713039,-9.126087,Nominatim,"R. dos Remedios 139, 1100-453, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,museum,5,Discover old treasures at the Museu Nacional de Arte Antiga,"Major Portuguese ancient art museum with painting, sculpture, goldsmithing, decorative arts, and national treasures.",The best museum in Lisbon,Rua das Janelas Verdes 1249-017,Around EUR8-EUR10,Janelas Verdes,https://www.timeout.com/lisbon/museums/the-best-lisbon-museums,https://activities.timeout.com/lisbon-l42/museums-exhibitions-tc132/,https://www.timeout.com/lisbon/museums/the-best-lisbon-museums,https://media.timeout.com/images/106165773/750/422/image.jpg,Noted works include Bosch's The Temptations of St. Anthony and the Panels of St. Vincent.,38.705576,-9.160171,Nominatim,"Rua das Janelas Verdes 1249-017, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,rooftop bar,6,Drink with a view at Catch Me,"Rooftop bar and restaurant beside the National Museum of Ancient Art, known for Tagus views, cocktails, and sunset DJ sets.",Lisbon's best rooftop bar,"Jardim 9 de Abril, 1200-736",Cocktails EUR10-EUR14; beer and wine around EUR4-EUR8,Janelas Verdes,https://www.instagram.com/catchme.lisboa/?locale=en_EN&hl=ru,,https://www.timeout.com/lisbon/bars-and-pubs/best-rooftop-bars-in-lisbon,https://media.timeout.com/images/105998977/750/422/image.jpg,Successor to the long-loved Le Chat terrace location.,38.704322,-9.163747,Photon,"Jardim 9 de Abril, 1200-736, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,restaurant,7,Have a traditional Portuguese tavern lunch at Vida de Tasca,Small traditional Portuguese tavern run by a chef focused on home-style cooking and classic tasca dishes.,The most underrated thing to do in Lisbon,"R. Moniz Barreto 7, 1700-306",Around EUR10-EUR30 per head,Alvalade / Areeiro area,https://www.timeout.com/lisbon/restaurants/the-best-lisbon-restaurants,https://activities.timeout.com/lisbon-l42/local-food-tours-tc532/,https://www.timeout.com/lisbon/restaurants/the-best-lisbon-restaurants,https://media.timeout.com/images/106190434/750/422/image.jpg,"Recommended dishes include bitoque, alheira with greens, salt cod fritters, and jug wine.",38.747827,-9.137344,Nominatim,"R. Moniz Barreto 7, 1700-306, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,cemetery,8,See the graves of the greats at Prazeres Cemetery,"Romantic-era cemetery with private mausoleums, notable Lisbon figures, a chapel, museum center, and guided tour potential.",Lisbon's best outdoor activity,"Praca Sao Joao Bosco, 1350-297",Free to visit,Prazeres / Campo de Ourique,https://www.timeout.com/lisbon/attractions/prazeres-cemetery,https://activities.timeout.com/lisbon-l42/cemetery-tours-tc198/,https://www.timeout.com/lisbon/attractions/prazeres-cemetery,https://media.timeout.com/images/106255481/750/422/image.jpg,Final stop of tram 28.,38.714196,-9.169860,Nominatim,"Praca Sao Joao Bosco, 1350-297, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,shop,9,Sample Portuguese cosmetics at Benamor,Historic Portuguese beauty brand with photogenic Lisbon stores and a signature face cream formula dating to 1925.,Our favourite shop in Lisbon,"Rua do Loreto 6, 1200-284",,Chiado branch; also Principe Real and LX Factory,https://benamor1925.com/,,https://www.timeout.com/lisbon/shopping/the-best-shops-in-lisbon,https://media.timeout.com/images/106137534/750/422/image.jpg,The Nata range is inspired by pastel de nata flavors.,38.710653,-9.144483,Nominatim,"Rua do Loreto 6, 1200-284, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,aquarium,10,Take the kids to the Lisbon Oceanarium,"Large aquarium from the Expo 1998 site with a major permanent exhibition, temporary displays, activities, and outreach events.",The best kids' activity in Lisbon,"Esplanada Dom Carlos I, 1990-005",EUR25 adults; EUR15 kids,Parque das Nacoes,https://www.timeout.com/lisbon/attractions/lisbon-oceanarium,https://activities.timeout.com/lisbon-oceanarium-l3591/,https://www.timeout.com/lisbon/things-to-do/best-things-to-do-with-kids-in-lisbon,https://media.timeout.com/images/105713580/750/422/image.jpg,Time Out flags activities such as sleeping with the sharks.,38.762233,-9.093951,Nominatim,"Esplanada Dom Carlos I, 1990-005, Lisboa, Portugal"
